state,district,taluk,village
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Kachavarapu Padu
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Kalthunuru
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Kannampeta
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Kannayagudem
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Kokkiragudem
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Kollerupadu
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Kolluru
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Kondepudi
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Koppalle
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Kothagudem
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Kothapeta
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Kothuru
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Kottarugommu
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Kunduluru
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Kunjavari Gudem
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Maredupudi
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Mulakanapalle
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Mulkapalle
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Narayanapuram
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Nuthigudem
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Peddamattapalle
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Pochavaram
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Prathipaka
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Pulusumamidi
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Rajupeta
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Ramavaram
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Ravigudem
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Rekapalle
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Seethampeta
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Somanamallu
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Somulagudem
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Sriramgiri
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Suddagudem
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Tekuluru
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Tellamvari Gudem
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Thammayyapeta
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Thotapalle
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Tummileru
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Ummadivaram
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Venkampalem
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Venkannagudem
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Venkata Narasimhapuram
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Venkuturu
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Verapapanikunta
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,Waddegudem
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Achuthapuram
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Ayyavaripeta
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Bandirevu
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Boddugudem
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Buruguvai
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Buttaigudem
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Chandrampalem
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Chelempalem
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Chinna Bandirevu
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Chinna Nallakunta
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Chinthalagudem
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Chowdavaram
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Dammapeta
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Devarapalle
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Doramitta
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Fergusanpeta
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Gannavaram
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Gogubaka
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Gollagudem
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Gollaguppa
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Gommu Koyagudem
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Gottugudem
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Gowridevi Peta
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Gundala
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Kannaigudem
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Kannapuram
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Kannapuram
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Kapavaram
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Kapugampalle
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Kistaram
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,K. Narayanapuram
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Kolanugudem
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Kondaigudem
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Kothagudem
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Kusumanapalle
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Lakshmidevipeta
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Laxmipuram
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Lingalapalle
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Madhavaraopeta
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Madimeru
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Midfordpeta
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Mummadivaru
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Murumoor
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Nallakunta
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Nallakunta
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Nandigama
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Narasingapeta
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Nellipaka
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Pandurangapuram
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Pattucheera
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Penuballe
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Pinapalle
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Pitchikalapadu
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Purushothapatnam
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Rachagampalle
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Raghavapuram
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Rajupeta
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Ramagopalapuram
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Rangapuram
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Rayanapeta
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Seetaramapuram
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Seethampeta
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Sreenivasapuram
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Thallagudem
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Thotapalle
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Thottimadugu
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Thunikicheruvu
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Tripura Penta Veedu
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Viswapuram
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Yerraboru
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Yerragunta
Andhra Pradesh,Alluri Sitharama Raju,Yetapaka,Yetapaka
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Adupulametta
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Allurigedda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Ammapeta
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Annampalem
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Antilova
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Babbilova
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Bachaluru
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Bandigedda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Bheemudugadda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Boddagondi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Boddagunta
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Boddapalle
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Boddumamidi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Bonangipalem
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Bullojupalem
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Buradakota
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Buradavalasa
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Buruguwada
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Busikota
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Chamagedda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Chanaganuru
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Chaparai
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Chavitidibbalu
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Chendurthi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Chilakaveedhilanka
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Chinavulempadu
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Chinta Koyya
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Chinthakarrapalem
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Chinthalapudi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Dabbamamidi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Dadalikavada
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Dalipadu
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Daragedda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Daralova
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Devaramadugula
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,D. Mamidivada
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Donarai
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Donkarai
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Doragondi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Dorawada
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Dubela
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Dumpavalasa
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Edlakonda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Gandempalle
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Ganganuru
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Gannavaram
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Gellavada
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Gobbilapanukulu
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Godugurayi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Gondikota
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Goppulathotamamidi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Goramanda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Gummarapalem
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Gurtedu
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,G.Vattigedda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Irlavada
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Jajigedda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Jajivalasa
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Jalagalova
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Jangalathota
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Kadarikota
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Kakkonda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Kallepugonda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Kanatalabanda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Kanivada
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Kappalabanda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Karnikota
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Kathirala
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Kokitagondi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Komaravaram
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Koppulakota
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Koramatigondi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Kota
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Kotabandichippalamamidi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Kothakota
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Kothapakalu
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Kunkumamidi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,K. Yerragonda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Lingavaram
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Mangampadu
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Marriguda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Mulasalapalem
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Munagalapudi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Muvvalavada
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Nagalova
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Nakkalapadu
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Nakkarathipalem
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Neelapalem
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Nellikota
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Nulakamamidi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Nuvvugantipalem
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Paidiputta
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Palagondi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Panasalapalem
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Panasalova
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Panchadaralanka
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Pasaruginne
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Pathakota
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Pedavulempadu
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Perikivalasa
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Polamanugondi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Poolova
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Pulimetala
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Pulusumamidi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Putikunta
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Puttagandi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Puttapalle
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,P. Yerragonda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Rachapalem
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Rakota
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Ramulakonda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Ratsavalasa
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Ravvagadda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Regadipalem
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Revadikota
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Sesharai
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Simhadripalem
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Singanakota
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Singavaram
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Sirimetla
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Thadikota
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Thangedukota
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Totakurapalem
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Tulusuru
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Tumikelapadu
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Vadisalova
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Vanamamidigondi
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Vattigedda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Vedullapalle
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Veerampalem
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Vejuvada
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Villarti
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Vootlabanda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Yarlagadda
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Yerragoppula
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Yerramreddipalem
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Y. Ramavaram
Andhra Pradesh,Anakapalli,Anakapalli,Allikhanudupalem
Andhra Pradesh,Anakapalli,Anakapalli,Anakapalle North
Andhra Pradesh,Anakapalli,Anakapalli,Anakapalle South
Andhra Pradesh,Anakapalli,Anakapalli,Anakapalli South - 2
Andhra Pradesh,Anakapalli,Anakapalli,Bhatlapudi
Andhra Pradesh,Anakapalli,Anakapalli,Bowluvada (Ct)
Andhra Pradesh,Anakapalli,Anakapalli,Chintanippula Agraharam
Andhra Pradesh,Anakapalli,Anakapalli,Golagam
Andhra Pradesh,Anakapalli,Anakapalli,Gopalapuram
Andhra Pradesh,Anakapalli,Anakapalli,Jagannadhapuram
Andhra Pradesh,Anakapalli,Anakapalli,Koduru
Andhra Pradesh,Anakapalli,Anakapalli,Kondupalem
Andhra Pradesh,Anakapalli,Anakapalli,Koppaka
Andhra Pradesh,Anakapalli,Anakapalli,Kunchangi
Andhra Pradesh,Anakapalli,Anakapalli,Kundram
Andhra Pradesh,Anakapalli,Anakapalli,Makavaram
Andhra Pradesh,Anakapalli,Anakapalli,Mamidipalem
Andhra Pradesh,Anakapalli,Anakapalli,Maredupudi
Andhra Pradesh,Anakapalli,Anakapalli,Maredupudi Agraharam
Andhra Pradesh,Anakapalli,Anakapalli,Marturu
Andhra Pradesh,Anakapalli,Anakapalli,Mettapalem
Andhra Pradesh,Anakapalli,Anakapalli,Papayya Palem
Andhra Pradesh,Anakapalli,Anakapalli,Papayya Santha Palem
Andhra Pradesh,Anakapalli,Anakapalli,Pisinikada
Andhra Pradesh,Anakapalli,Anakapalli,Rajupalem
Andhra Pradesh,Anakapalli,Anakapalli,Rebaka
Andhra Pradesh,Anakapalli,Anakapalli,Sampathipuram
Andhra Pradesh,Anakapalli,Anakapalli,Sankaram
Andhra Pradesh,Anakapalli,Anakapalli,Seethanagaram
Andhra Pradesh,Anakapalli,Anakapalli,Tagarampudi
Andhra Pradesh,Anakapalli,Anakapalli,Thummapala
Andhra Pradesh,Anakapalli,Anakapalli,Valluru
Andhra Pradesh,Anakapalli,Anakapalli,Venkupalem
Andhra Pradesh,Anakapalli,Anakapalli,Vetajangalapalem
Andhra Pradesh,Anakapalli,Anakapalli,Vooderu
Andhra Pradesh,Anakapalli,Atchuthapuram,Andalapalle
Andhra Pradesh,Anakapalli,Atchuthapuram,Bhogapuram
Andhra Pradesh,Anakapalli,Atchuthapuram,Cheemalapalle
Andhra Pradesh,Anakapalli,Atchuthapuram,Chippada
Andhra Pradesh,Anakapalli,Atchuthapuram,Chodapalle
Andhra Pradesh,Anakapalli,Atchuthapuram,Dibbapalem
Andhra Pradesh,Anakapalli,Atchuthapuram,Dopperla
Andhra Pradesh,Anakapalli,Atchuthapuram,Dosuru
Andhra Pradesh,Anakapalli,Atchuthapuram,Duppituru
Andhra Pradesh,Anakapalli,Atchuthapuram,Gangamambapura Agraharam
Andhra Pradesh,Anakapalli,Atchuthapuram,Haripalem
Andhra Pradesh,Anakapalli,Atchuthapuram,Iravada
Andhra Pradesh,Anakapalli,Atchuthapuram,Jagannadhapura Agraharam
Andhra Pradesh,Anakapalli,Atchuthapuram,Jaggannapeta
Andhra Pradesh,Anakapalli,Atchuthapuram,Janguluru
Andhra Pradesh,Anakapalli,Atchuthapuram,Jogannapalem
Andhra Pradesh,Anakapalli,Atchuthapuram,Khajipalem
Andhra Pradesh,Anakapalli,Atchuthapuram,Kondakarla
Andhra Pradesh,Anakapalli,Atchuthapuram,Maduthuru
Andhra Pradesh,Anakapalli,Atchuthapuram,Maruturu
Andhra Pradesh,Anakapalli,Atchuthapuram,Melupaka Jagannadhapuram
Andhra Pradesh,Anakapalli,Atchuthapuram,Nadimpalle
Andhra Pradesh,Anakapalli,Atchuthapuram,Nunaparthi
Andhra Pradesh,Anakapalli,Atchuthapuram,Pedapadu
Andhra Pradesh,Anakapalli,Atchuthapuram,Pudimadaka
Andhra Pradesh,Anakapalli,Atchuthapuram,Ravipalem
Andhra Pradesh,Anakapalli,Atchuthapuram,Somavaram
Andhra Pradesh,Anakapalli,Atchuthapuram,Tantadi
Andhra Pradesh,Anakapalli,Atchuthapuram,Thallapalem
Andhra Pradesh,Anakapalli,Atchuthapuram,Thimmarajupeta
Andhra Pradesh,Anakapalli,Atchuthapuram,Uddlapalem
Andhra Pradesh,Anakapalli,Atchuthapuram,Uppavaram
Andhra Pradesh,Anakapalli,Atchuthapuram,Veduruvada
Andhra Pradesh,Anakapalli,Atchuthapuram,Yerravaram
Andhra Pradesh,Anakapalli,Butchayyapeta,Aithampudi
Andhra Pradesh,Anakapalli,Butchayyapeta,Appampalem
Andhra Pradesh,Anakapalli,Butchayyapeta,Bhatlova
Andhra Pradesh,Anakapalli,Butchayyapeta,Butchayyapeta
Andhra Pradesh,Anakapalli,Butchayyapeta,China Madina
Andhra Pradesh,Anakapalli,Butchayyapeta,Chinappannapalem
Andhra Pradesh,Anakapalli,Butchayyapeta,Chintapaka
Andhra Pradesh,Anakapalli,Butchayyapeta,Chittiyyapalem
Andhra Pradesh,Anakapalli,Butchayyapeta,Dibbidi
Andhra Pradesh,Anakapalli,Butchayyapeta,Gantikorlam
Andhra Pradesh,Anakapalli,Butchayyapeta,Gunnempudi
Andhra Pradesh,Anakapalli,Butchayyapeta,Kandipudi
Andhra Pradesh,Anakapalli,Butchayyapeta,Karaka
Andhra Pradesh,Anakapalli,Butchayyapeta,Komallapudi
Andhra Pradesh,Anakapalli,Butchayyapeta,Kondapalem
Andhra Pradesh,Anakapalli,Butchayyapeta,Kondapalem Agraharam
Andhra Pradesh,Anakapalli,Butchayyapeta,Kondempudi
Andhra Pradesh,Anakapalli,Butchayyapeta,Laluru
Andhra Pradesh,Anakapalli,Butchayyapeta,Lingabhupala Puram Agraharam
Andhra Pradesh,Anakapalli,Butchayyapeta,Lopudi
Andhra Pradesh,Anakapalli,Butchayyapeta,L.Singavaram
Andhra Pradesh,Anakapalli,Butchayyapeta,Mallam
Andhra Pradesh,Anakapalli,Butchayyapeta,Mallam Bhupathipalem
Andhra Pradesh,Anakapalli,Butchayyapeta,Mangalapuram
Andhra Pradesh,Anakapalli,Butchayyapeta,Neelakantapuram
Andhra Pradesh,Anakapalli,Butchayyapeta,Nimmalova
Andhra Pradesh,Anakapalli,Butchayyapeta,Pangidi
Andhra Pradesh,Anakapalli,Butchayyapeta,P. Bheemavaram
Andhra Pradesh,Anakapalli,Butchayyapeta,Peda Madina
Andhra Pradesh,Anakapalli,Butchayyapeta,Pedapudi
Andhra Pradesh,Anakapalli,Butchayyapeta,Pedapudi Agraharam
Andhra Pradesh,Anakapalli,Butchayyapeta,Polepalle
Andhra Pradesh,Anakapalli,Butchayyapeta,Pottidorapalem
Andhra Pradesh,Anakapalli,Butchayyapeta,Rajam
Andhra Pradesh,Anakapalli,Butchayyapeta,R. Bheemavaram
Andhra Pradesh,Anakapalli,Butchayyapeta,R. Sivarampuram
Andhra Pradesh,Anakapalli,Butchayyapeta,Turakalapudi
Andhra Pradesh,Anakapalli,Butchayyapeta,Typuram
Andhra Pradesh,Anakapalli,Butchayyapeta,Vaddadi
Andhra Pradesh,Anakapalli,Butchayyapeta,Vijayaramarajupeta
Andhra Pradesh,Anakapalli,Cheedikada,Advi Agraharam
Andhra Pradesh,Anakapalli,Cheedikada,Appalarajupuram
Andhra Pradesh,Anakapalli,Cheedikada,Arjunagiri Agraharam
Andhra Pradesh,Anakapalli,Cheedikada,Bylapudi
Andhra Pradesh,Anakapalli,Cheedikada,Bylapudi Singavaram
Andhra Pradesh,Anakapalli,Cheedikada,Cheedikada
